Date,Temperature.C,Weight.g,Cons.inverts.g,Cons.fish.g,Cum.Cons.g
15-Sep,14.73,601.53,0.63,2.52,3.15
16-Sep,14.36,604.18,0.6,2.39,6.14
17-Sep,14.07,606.66,0.57,2.28,8.99
18-Sep,13.96,609.08,0.56,2.24,11.79
19-Sep,13.86,611.45,0.55,2.21,14.55
20-Sep,13.63,613.66,0.53,2.11,17.19
21-Sep,13.2,615.57,0.48,1.92,19.59
22-Sep,13.2,617.49,0.48,1.92,21.99
23-Sep,13.4,619.56,0.51,2.02,24.52
24-Sep,13.22,621.5,0.49,1.94,26.95
25-Sep,12.85,623.17,0.44,1.77,29.16
26-Sep,12.85,624.83,0.44,1.77,31.38
27-Sep,13.02,626.64,0.47,1.86,33.7
28-Sep,12.96,628.4,0.46,1.83,36
29-Sep,12.42,629.75,0.39,1.58,37.97
30-Sep,11.91,630.71,0.34,1.35,39.65
1-Oct,11.56,631.43,0.3,1.19,41.15
2-Oct,11.44,632.07,0.29,1.14,42.58
3-Oct,11.24,632.58,0.27,1.07,43.91
4-Oct,10.73,632.77,0.22,0.87,44.99
5-Oct,10.4,632.8,0.19,0.76,45.94
6-Oct,10.66,632.96,0.21,0.85,47
7-Oct,10.79,633.19,0.22,0.89,48.12
8-Oct,10.58,633.31,0.21,0.82,49.14
9-Oct,10.32,633.3,0.18,0.73,50.06
10-Oct,9.58,632.98,0.13,0.53,50.72
11-Oct,8.99,632.48,0.1,0.4,51.22
12-Oct,8.02,631.81,0.06,0.25,51.53
13-Oct,7.64,631.09,0.05,0.21,51.79
14-Oct,7.53,630.36,0.05,0.19,52.03
15-Oct,7.78,629.66,0.06,0.22,52.31
16-Oct,7.91,628.97,0.06,0.24,52.6
17-Oct,8.23,628.33,0.07,0.28,52.95
18-Oct,8.34,627.7,0.07,0.29,53.31
19-Oct,8.39,627.08,0.07,0.3,53.68
20-Oct,8.33,626.45,0.07,0.29,54.04
21-Oct,8.23,625.81,0.07,0.28,54.39
22-Oct,8.22,625.17,0.07,0.27,54.73
23-Oct,8.13,624.51,0.07,0.26,55.05
24-Oct,7.69,623.8,0.05,0.21,55.32
25-Oct,7.24,623.06,0.04,0.17,55.52
26-Oct,7.23,622.32,0.04,0.16,55.73
27-Oct,7,621.56,0.04,0.15,55.91
28-Oct,6.83,620.81,0.03,0.13,56.08
29-Oct,6.48,620.04,0.03,0.11,56.22
30-Oct,6.42,619.27,0.03,0.11,56.35
31-Oct,5.85,618.51,0.02,0.08,56.45
1-Nov,5.19,617.76,0.01,0.06,56.53
2-Nov,5.12,617.01,0.01,0.05,56.59
3-Nov,5.15,616.26,0.01,0.06,56.66
4-Nov,5.24,615.51,0.01,0.06,56.73
5-Nov,5.43,614.76,0.02,0.06,56.81
6-Nov,5.46,614,0.02,0.06,56.9
7-Nov,5.29,613.25,0.01,0.06,56.97
8-Nov,4.42,612.53,0.01,0.04,57.02
9-Nov,3.46,611.86,0.01,0.02,57.04
10-Nov,3.42,611.19,0.01,0.02,57.07
11-Nov,3.46,610.52,0.01,0.02,57.1
12-Nov,3.23,609.86,0,0.02,57.12
13-Nov,3.14,609.21,0,0.02,57.15
14-Nov,3.54,608.54,0.01,0.02,57.18
15-Nov,4.03,607.84,0.01,0.03,57.22
16-Nov,4.19,607.14,0.01,0.03,57.26
17-Nov,3.79,606.46,0.01,0.03,57.29
18-Nov,3.22,605.8,0,0.02,57.31
19-Nov,2.87,605.17,0,0.02,57.33
20-Nov,2.73,604.54,0,0.02,57.35
21-Nov,2.38,603.93,0,0.01,57.37
22-Nov,1.92,603.35,0,0.01,57.38
23-Nov,1.97,602.76,0,0.01,57.39
24-Nov,2.23,602.16,0,0.01,57.41
25-Nov,2.02,601.57,0,0.01,57.42
26-Nov,1.62,601.01,0,0.01,57.43
27-Nov,1.6,600.44,0,0.01,57.44
28-Nov,1.87,599.86,0,0.01,57.45
29-Nov,2.08,599.27,0,0.01,57.47
30-Nov,1.73,598.7,0,0.01,57.48
