Day,Temperature.C,Weight.g,Cons.inverts.g,Cons.fish.g,Cum.Cons.g
1,14.73,673.57,0.31,2.79,3.1
2,14.36,676.44,0.29,2.64,6.03
3,14.07,679.13,0.28,2.52,8.83
4,13.96,681.76,0.28,2.48,11.58
5,13.86,684.32,0.27,2.44,14.29
6,13.63,686.72,0.26,2.33,16.88
7,13.2,688.79,0.24,2.12,19.23
8,13.2,690.87,0.24,2.12,21.59
9,13.4,693.11,0.25,2.23,24.07
10,13.22,695.22,0.24,2.15,26.46
11,12.85,697.02,0.22,1.95,28.63
12,12.85,698.83,0.22,1.96,30.81
13,13.02,700.78,0.23,2.05,33.09
14,12.96,702.69,0.22,2.02,35.34
15,12.42,704.15,0.19,1.74,37.28
16,11.91,705.2,0.17,1.49,38.93
17,11.56,705.97,0.15,1.32,40.39
18,11.44,706.66,0.14,1.26,41.79
19,11.24,707.21,0.13,1.18,43.1
20,10.73,707.42,0.11,0.96,44.17
21,10.4,707.45,0.09,0.84,45.1
22,10.66,707.63,0.1,0.93,46.14
23,10.79,707.88,0.11,0.98,47.23
24,10.58,708.01,0.1,0.91,48.24
25,10.32,707.99,0.09,0.81,49.13
26,9.58,707.65,0.06,0.58,49.78
27,8.99,707.11,0.05,0.44,50.28
28,8.02,706.38,0.03,0.28,50.58
29,7.64,705.6,0.03,0.23,50.83
30,7.53,704.81,0.02,0.21,51.07
31,7.78,704.05,0.03,0.24,51.34
32,7.91,703.3,0.03,0.26,51.63
33,8.23,702.61,0.03,0.3,51.97
34,8.34,701.93,0.04,0.32,52.32
35,8.39,701.26,0.04,0.33,52.69
36,8.33,700.58,0.04,0.32,53.04
37,8.23,699.88,0.03,0.3,53.38
38,8.22,699.19,0.03,0.3,53.72
39,8.13,698.47,0.03,0.29,54.04
40,7.69,697.71,0.03,0.23,54.29
41,7.24,696.9,0.02,0.18,54.5
42,7.23,696.1,0.02,0.18,54.7
43,7,695.28,0.02,0.16,54.88
44,6.83,694.46,0.02,0.15,55.04
45,6.48,693.63,0.01,0.12,55.18
46,6.42,692.8,0.01,0.12,55.31
47,5.85,691.97,0.01,0.09,55.41
48,5.19,691.16,0.01,0.06,55.48
49,5.12,690.35,0.01,0.06,55.55
50,5.15,689.53,0.01,0.06,55.61
51,5.24,688.72,0.01,0.06,55.69
52,5.43,687.9,0.01,0.07,55.76
53,5.46,687.09,0.01,0.07,55.84
54,5.29,686.27,0.01,0.07,55.92
55,4.42,685.5,0,0.04,55.96
56,3.46,684.77,0,0.02,55.99
57,3.42,684.04,0,0.02,56.02
58,3.46,683.32,0,0.02,56.04
59,3.23,682.6,0,0.02,56.07
60,3.14,681.9,0,0.02,56.09
61,3.54,681.17,0,0.03,56.12
62,4.03,680.41,0,0.03,56.16
63,4.19,679.65,0,0.04,56.2
64,3.79,678.91,0,0.03,56.23
65,3.22,678.2,0,0.02,56.25
66,2.87,677.51,0,0.02,56.27
67,2.73,676.83,0,0.02,56.29
68,2.38,676.17,0,0.01,56.31
69,1.92,675.54,0,0.01,56.32
70,1.97,674.9,0,0.01,56.33
71,2.23,674.25,0,0.01,56.35
72,2.02,673.61,0,0.01,56.36
73,1.62,673,0,0.01,56.37
74,1.6,672.39,0,0.01,56.38
75,1.87,671.76,0,0.01,56.39
76,2.08,671.12,0,0.01,56.4
77,1.73,670.5,0,0.01,56.41
