Date,Temperature.C,Weight.g,Cons.inverts.g,Cons.fish.g,Cum.Cons.g
1-Mar,0.21,430.31,0.01,0,0.01
2-Mar,0.39,429.92,0.01,0,0.02
3-Mar,1.06,429.49,0.01,0,0.03
4-Mar,1.3,429.06,0.01,0,0.05
5-Mar,1.46,428.63,0.01,0.01,0.07
6-Mar,1.75,428.18,0.01,0.01,0.09
7-Mar,2.36,427.71,0.02,0.01,0.12
8-Mar,2.98,427.21,0.03,0.01,0.16
9-Mar,3.72,426.69,0.04,0.02,0.22
10-Mar,4.54,426.14,0.06,0.03,0.31
11-Mar,4.69,425.59,0.07,0.03,0.41
12-Mar,4.75,425.04,0.07,0.03,0.51
13-Mar,5.02,424.48,0.08,0.04,0.63
14-Mar,5.29,423.92,0.1,0.04,0.77
15-Mar,5.53,423.36,0.11,0.05,0.92
16-Mar,5.85,422.79,0.13,0.05,1.11
17-Mar,5.89,422.23,0.13,0.06,1.29
18-Mar,5.88,421.66,0.13,0.06,1.48
19-Mar,6.23,421.11,0.16,0.07,1.7
20-Mar,6.56,420.55,0.18,0.08,1.97
21-Mar,6.76,420.01,0.2,0.09,2.26
22-Mar,7.18,419.48,0.25,0.11,2.62
23-Mar,7.21,418.96,0.26,0.11,2.99
24-Mar,6.93,418.42,0.22,0.1,3.31
25-Mar,6.75,417.88,0.2,0.09,3.6
26-Mar,6.39,417.33,0.17,0.07,3.84
27-Mar,6.64,416.78,0.19,0.08,4.12
28-Mar,7.04,416.25,0.24,0.1,4.45
29-Mar,7.14,415.73,0.25,0.11,4.81
30-Mar,7.29,415.21,0.27,0.11,5.19
31-Mar,7.59,414.72,0.31,0.13,5.63
1-Apr,7.6,414.23,0.31,0.13,6.08
2-Apr,8.29,413.83,0.44,0.19,6.71
3-Apr,8.34,413.43,0.45,0.19,7.35
4-Apr,8.47,413.05,0.48,0.21,8.04
5-Apr,8.71,412.71,0.54,0.23,8.81
6-Apr,9.03,412.45,0.63,0.27,9.71
7-Apr,9.42,412.28,0.75,0.32,10.79
8-Apr,9.46,412.13,0.77,0.33,11.89
9-Apr,9.11,411.88,0.65,0.28,12.83
10-Apr,8.85,411.58,0.58,0.25,13.65
11-Apr,8.62,411.23,0.52,0.22,14.39
12-Apr,8.47,410.85,0.48,0.21,15.07
13-Apr,8.11,410.42,0.4,0.17,15.64
14-Apr,8.05,409.98,0.39,0.17,16.2
15-Apr,7.94,409.53,0.37,0.16,16.72
16-Apr,8.31,409.13,0.44,0.19,17.35
17-Apr,8.78,408.81,0.55,0.24,18.14
18-Apr,9.42,408.64,0.75,0.32,19.22
19-Apr,10.23,408.76,1.08,0.46,20.76
20-Apr,10.45,408.96,1.18,0.51,22.45
21-Apr,10.56,409.22,1.24,0.53,24.23
22-Apr,10.6,409.5,1.26,0.54,26.03
23-Apr,10.52,409.74,1.22,0.52,27.78
24-Apr,10.03,409.77,0.99,0.43,29.19
25-Apr,9.66,409.68,0.84,0.36,30.4
26-Apr,9.91,409.67,0.94,0.4,31.74
27-Apr,10.1,409.74,1.02,0.44,33.2
28-Apr,10.09,409.79,1.02,0.44,34.65
29-Apr,10,409.82,0.98,0.42,36.05
30-Apr,10.05,409.86,1,0.43,37.48
1-May,9.98,409.88,0.97,0.41,38.86
2-May,10.25,410,1.09,0.47,40.42
3-May,10.82,410.38,1.38,0.59,42.39
4-May,11.66,411.24,1.9,0.82,45.11
5-May,12.05,412.34,2.18,0.93,48.22
6-May,12.06,413.45,2.19,0.94,51.35
7-May,11.24,414.07,1.64,0.7,53.69
8-May,10.68,414.38,1.32,0.57,55.58
9-May,10.56,414.65,1.26,0.54,57.37
10-May,10.41,414.84,1.18,0.51,59.06
11-May,10.44,415.05,1.2,0.51,60.77
12-May,10.78,415.42,1.38,0.59,62.74
13-May,11.11,415.96,1.57,0.67,64.98
14-May,11.13,416.51,1.58,0.68,67.24
15-May,11.31,417.17,1.7,0.73,69.66
16-May,11.29,417.82,1.69,0.72,72.07
17-May,11.16,418.39,1.61,0.69,74.37
18-May,11.09,418.92,1.56,0.67,76.61
19-May,10.99,419.4,1.51,0.65,78.76
20-May,10.55,419.66,1.26,0.54,80.56
21-May,10.28,419.8,1.13,0.48,82.17
22-May,10.36,419.98,1.16,0.5,83.84
23-May,10.53,420.23,1.25,0.54,85.63
24-May,10.61,420.52,1.3,0.56,87.48
25-May,11.18,421.1,1.63,0.7,89.8
26-May,11.67,421.98,1.95,0.83,92.59
27-May,11.92,423.03,2.13,0.91,95.63
28-May,12.49,424.46,2.55,1.09,99.27
29-May,13.07,426.3,3,1.29,103.56
30-May,13.59,428.5,3.4,1.46,108.42
31-May,13.57,430.7,3.4,1.46,113.28
