Day,Temperature.C,Weight.g,Cons.inverts.g,Cons.fish.g,Cum.Cons.g
1,14.73,673.57,7.27,1.82,9.09
2,14.36,676.44,6.88,1.72,17.69
3,14.07,679.13,6.57,1.64,25.9
4,13.96,681.76,6.46,1.61,33.97
5,13.86,684.32,6.35,1.59,41.91
6,13.63,686.72,6.07,1.52,49.5
7,13.2,688.79,5.53,1.38,56.41
8,13.2,690.87,5.54,1.38,63.33
9,13.4,693.11,5.82,1.45,70.6
10,13.22,695.22,5.6,1.4,77.6
11,12.85,697.02,5.1,1.27,83.97
12,12.85,698.83,5.11,1.28,90.36
13,13.02,700.78,5.35,1.34,97.05
14,12.96,702.69,5.28,1.32,103.64
15,12.42,704.15,4.54,1.14,109.32
16,11.91,705.2,3.88,0.97,114.17
17,11.56,705.97,3.43,0.86,118.46
18,11.44,706.66,3.29,0.82,122.57
19,11.24,707.21,3.06,0.77,126.41
20,10.73,707.42,2.5,0.63,129.53
21,10.4,707.45,2.19,0.55,132.27
22,10.66,707.63,2.44,0.61,135.31
23,10.79,707.88,2.56,0.64,138.52
24,10.58,708.01,2.36,0.59,141.47
25,10.32,707.99,2.11,0.53,144.1
26,9.58,707.65,1.52,0.38,146
27,8.99,707.11,1.16,0.29,147.45
28,8.02,706.38,0.72,0.18,148.34
29,7.64,705.6,0.59,0.15,149.08
30,7.53,704.81,0.56,0.14,149.78
31,7.78,704.05,0.63,0.16,150.57
32,7.91,703.3,0.68,0.17,151.42
33,8.23,702.61,0.79,0.2,152.41
34,8.34,701.93,0.84,0.21,153.46
35,8.39,701.26,0.86,0.21,154.53
36,8.33,700.58,0.83,0.21,155.57
37,8.23,699.88,0.79,0.2,156.56
38,8.22,699.19,0.79,0.2,157.54
39,8.13,698.47,0.75,0.19,158.48
40,7.69,697.71,0.6,0.15,159.23
41,7.24,696.9,0.48,0.12,159.83
42,7.23,696.1,0.47,0.12,160.42
43,7,695.28,0.42,0.11,160.95
44,6.83,694.46,0.39,0.1,161.43
45,6.48,693.63,0.32,0.08,161.83
46,6.42,692.8,0.31,0.08,162.22
47,5.85,691.97,0.23,0.06,162.51
48,5.19,691.16,0.16,0.04,162.71
49,5.12,690.35,0.16,0.04,162.91
50,5.15,689.53,0.16,0.04,163.11
51,5.24,688.72,0.17,0.04,163.32
52,5.43,687.9,0.18,0.05,163.55
53,5.46,687.09,0.19,0.05,163.78
54,5.29,686.27,0.17,0.04,163.99
55,4.42,685.5,0.11,0.03,164.13
56,3.46,684.77,0.06,0.02,164.21
57,3.42,684.04,0.06,0.02,164.29
58,3.46,683.32,0.06,0.02,164.37
59,3.23,682.6,0.06,0.01,164.44
60,3.14,681.9,0.05,0.01,164.51
61,3.54,681.17,0.07,0.02,164.59
62,4.03,680.41,0.09,0.02,164.7
63,4.19,679.65,0.09,0.02,164.82
64,3.79,678.91,0.08,0.02,164.91
65,3.22,678.2,0.06,0.01,164.98
66,2.87,677.51,0.05,0.01,165.04
67,2.73,676.83,0.04,0.01,165.09
68,2.38,676.17,0.04,0.01,165.14
69,1.92,675.54,0.03,0.01,165.17
70,1.97,674.9,0.03,0.01,165.21
71,2.23,674.25,0.03,0.01,165.25
72,2.02,673.61,0.03,0.01,165.29
73,1.62,673,0.02,0.01,165.32
74,1.6,672.39,0.02,0.01,165.35
75,1.87,671.76,0.03,0.01,165.38
76,2.08,671.12,0.03,0.01,165.42
77,1.73,670.5,0.03,0.01,165.45
