Date,Temperature.C,Weight.g,Cons.inverts.g,Cons.fish.g,Cum.Cons.g
15-Sep,14.73,601.52,4.57,1.96,6.54
16-Sep,14.36,604.15,4.33,1.86,12.73
17-Sep,14.07,606.62,4.13,1.77,18.63
18-Sep,13.96,609.03,4.07,1.74,24.44
19-Sep,13.86,611.39,4,1.71,30.15
20-Sep,13.63,613.59,3.82,1.64,35.61
21-Sep,13.2,615.49,3.48,1.49,40.58
22-Sep,13.2,617.4,3.49,1.49,45.57
23-Sep,13.4,619.46,3.66,1.57,50.8
24-Sep,13.22,621.39,3.53,1.51,55.84
25-Sep,12.85,623.05,3.21,1.38,60.42
26-Sep,12.85,624.71,3.22,1.38,65.02
27-Sep,13.02,626.51,3.37,1.45,69.84
28-Sep,12.96,628.26,3.32,1.42,74.59
29-Sep,12.42,629.6,2.86,1.23,78.68
30-Sep,11.91,630.56,2.44,1.05,82.17
1-Oct,11.56,631.28,2.16,0.93,85.26
2-Oct,11.44,631.91,2.07,0.89,88.22
3-Oct,11.24,632.42,1.93,0.83,90.98
4-Oct,10.73,632.61,1.58,0.68,93.23
5-Oct,10.4,632.64,1.38,0.59,95.2
6-Oct,10.66,632.8,1.54,0.66,97.39
7-Oct,10.79,633.03,1.62,0.69,99.7
8-Oct,10.58,633.15,1.49,0.64,101.82
9-Oct,10.32,633.13,1.33,0.57,103.72
10-Oct,9.58,632.82,0.96,0.41,105.09
11-Oct,8.99,632.32,0.73,0.31,106.13
12-Oct,8.02,631.65,0.45,0.19,106.78
13-Oct,7.64,630.94,0.37,0.16,107.31
14-Oct,7.53,630.21,0.35,0.15,107.81
15-Oct,7.78,629.51,0.4,0.17,108.38
16-Oct,7.91,628.83,0.43,0.18,108.99
17-Oct,8.23,628.19,0.5,0.21,109.71
18-Oct,8.34,627.56,0.53,0.23,110.46
19-Oct,8.39,626.95,0.54,0.23,111.23
20-Oct,8.33,626.32,0.52,0.22,111.98
21-Oct,8.23,625.68,0.5,0.21,112.69
22-Oct,8.22,625.04,0.5,0.21,113.4
23-Oct,8.13,624.39,0.47,0.2,114.07
24-Oct,7.69,623.68,0.38,0.16,114.61
25-Oct,7.24,622.95,0.3,0.13,115.04
26-Oct,7.23,622.21,0.3,0.13,115.47
27-Oct,7,621.46,0.27,0.11,115.85
28-Oct,6.83,620.7,0.24,0.1,116.2
29-Oct,6.48,619.94,0.2,0.09,116.49
30-Oct,6.42,619.18,0.2,0.08,116.77
31-Oct,5.85,618.41,0.15,0.06,116.97
1-Nov,5.19,617.67,0.1,0.04,117.12
2-Nov,5.12,616.92,0.1,0.04,117.26
3-Nov,5.15,616.18,0.1,0.04,117.41
4-Nov,5.24,615.43,0.11,0.05,117.56
5-Nov,5.43,614.68,0.12,0.05,117.72
6-Nov,5.46,613.93,0.12,0.05,117.89
7-Nov,5.29,613.18,0.11,0.05,118.04
8-Nov,4.42,612.47,0.07,0.03,118.14
9-Nov,3.46,611.8,0.04,0.02,118.2
10-Nov,3.42,611.14,0.04,0.02,118.25
11-Nov,3.46,610.47,0.04,0.02,118.31
12-Nov,3.23,609.81,0.04,0.02,118.36
13-Nov,3.14,609.16,0.03,0.01,118.41
14-Nov,3.54,608.49,0.04,0.02,118.47
15-Nov,4.03,607.8,0.05,0.02,118.55
16-Nov,4.19,607.1,0.06,0.03,118.64
17-Nov,3.79,606.42,0.05,0.02,118.7
18-Nov,3.22,605.77,0.04,0.02,118.75
19-Nov,2.87,605.14,0.03,0.01,118.8
20-Nov,2.73,604.51,0.03,0.01,118.84
21-Nov,2.38,603.91,0.02,0.01,118.87
22-Nov,1.92,603.32,0.02,0.01,118.89
23-Nov,1.97,602.74,0.02,0.01,118.92
24-Nov,2.23,602.14,0.02,0.01,118.95
25-Nov,2.02,601.56,0.02,0.01,118.97
26-Nov,1.62,600.99,0.01,0.01,119
27-Nov,1.6,600.43,0.01,0.01,119.02
28-Nov,1.87,599.86,0.02,0.01,119.04
29-Nov,2.08,599.27,0.02,0.01,119.07
30-Nov,1.73,598.7,0.02,0.01,119.09
